SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,MinRabbitLifeTime,AverageRabbitLifeTime,MaxRabbitLifeTime,MinFoxLifeTime,AverageFoxLifeTime,MaxFoxLifeTime,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
34,796826150,2,4,69,59,44,50,50,50,6150,6150,6150,0,0,0,0,0,0,0,0
35,023386200,2,4,69,59,44,50,50,50,6200,6200,6200,0,0,0,0,0,0,0,0
35,270876250,2,4,69,59,44,50,50,50,6250,6250,6250,0,0,0,0,0,0,0,0
35,496126300,2,4,69,59,44,50,50,50,6300,6300,6300,0,0,0,0,0,0,0,0
35,72176350,2,4,69,59,44,50,50,50,6350,6350,6350,0,0,0,0,0,0,0,0
35,970886400,2,4,69,59,44,50,50,50,6400,6400,6400,0,0,0,0,0,0,0,0
36,20766450,2,4,69,59,44,50,50,50,6450,6450,6450,0,0,0,0,0,0,0,0
36,456216500,2,4,69,59,44,50,50,50,6500,6500,6500,0,0,0,0,0,0,0,0
36,682956550,2,4,69,59,44,50,50,50,6550,6550,6550,0,0,0,0,0,0,0,0
36,909636600,2,4,69,59,44,50,50,50,6600,6600,6600,0,0,0,0,0,0,0,0
37,15596650,2,4,69,59,44,50,50,50,6650,6650,6650,0,0,0,0,0,0,0,0
37,382356700,2,4,69,59,44,50,50,50,6700,6700,6700,0,0,0,0,0,0,0,0
37,607336750,2,4,69,59,44,50,50,50,6750,6750,6750,0,0,0,0,0,0,0,0
37,86386800,2,4,69,59,44,50,50,50,6800,6800,6800,0,0,0,0,0,0,0,0
38,092566850,2,4,69,59,44,50,50,50,6850,6850,6850,0,0,0,0,0,0,0,0
38,321176900,2,4,69,59,44,50,50,50,6900,6900,6900,0,0,0,0,0,0,0,0
38,577676950,2,4,69,59,44,50,50,50,6950,6950,6950,0,0,0,0,0,0,0,0
38,804147000,2,4,69,59,44,50,50,50,7000,7000,7000,0,0,0,0,0,0,0,0
39,052617050,2,4,69,59,44,50,50,50,7050,7050,7050,0,0,0,0,0,0,0,0
39,278987100,2,4,69,59,44,50,50,50,7100,7100,7100,0,0,0,0,0,0,0,0
39,515747150,2,4,69,59,44,50,50,50,7150,7150,7150,0,0,0,0,0,0,0,0
39,766097200,2,4,69,59,44,50,50,50,7200,7200,7200,0,0,0,0,0,0,0,0
39,993167250,2,4,69,59,44,50,50,50,7250,7250,7250,0,0,0,0,0,0,0,0
40,221237300,2,4,69,59,44,50,50,50,7300,7300,7300,0,0,0,0,0,0,0,0
40,46827350,2,4,69,59,44,50,50,50,7350,7350,7350,0,0,0,0,0,0,0,0
40,704697400,2,4,69,59,44,50,50,50,7400,7400,7400,0,0,0,0,0,0,0,0
40,951857450,2,4,69,59,44,50,50,50,7450,7450,7450,0,0,0,0,0,0,0,0
41,177817500,2,4,69,59,44,50,50,50,7500,7500,7500,0,0,0,0,0,0,0,0
41,415567550,2,4,69,59,44,50,50,50,7550,7550,7550,0,0,0,0,0,0,0,0
41,662017600,2,4,69,59,44,50,50,50,7600,7600,7600,0,0,0,0,0,0,0,0
41,888317650,2,4,69,59,44,50,50,50,7650,7650,7650,0,0,0,0,0,0,0,0
42,118617700,2,4,69,59,44,50,50,50,7700,7700,7700,0,0,0,0,0,0,0,0
42,363967750,2,4,69,59,44,50,50,50,7750,7750,7750,0,0,0,0,0,0,0,0
42,591017800,2,4,69,59,44,50,50,50,7800,7800,7800,0,0,0,0,0,0,0,0
42,824287850,2,4,69,59,44,50,50,50,7850,7850,7850,0,0,0,0,0,0,0,0
43,085127900,2,4,69,59,44,50,50,50,7900,7900,7900,0,0,0,0,0,0,0,0
43,30757950,2,4,69,59,44,50,50,50,7950,7950,7950,0,0,0,0,0,0,0,0
43,522698000,2,4,69,59,44,50,50,50,8000,8000,8000,0,0,0,0,0,0,0,0
43,760288050,2,4,69,59,44,50,50,50,8050,8050,8050,0,0,0,0,0,0,0,0
43,978538100,2,4,69,59,44,50,50,50,8100,8100,8100,0,0,0,0,0,0,0,0
44,196868150,2,4,69,59,44,50,50,50,8150,8150,8150,0,0,0,0,0,0,0,0
44,415378200,2,4,69,59,44,50,50,50,8200,8200,8200,0,0,0,0,0,0,0,0
44,658568250,2,4,69,59,44,50,50,50,8250,8250,8250,0,0,0,0,0,0,0,0
44,892378300,2,4,69,59,44,50,50,50,8300,8300,8300,0,0,0,0,0,0,0,0
45,101838350,2,4,69,59,44,50,50,50,8350,8350,8350,0,0,0,0,0,0,0,0
45,312818400,2,4,69,59,44,50,50,50,8400,8400,8400,0,0,0,0,0,0,0,0
45,523828450,2,4,69,59,44,50,50,50,8450,8450,8450,0,0,0,0,0,0,0,0
45,769368500,2,4,69,59,44,50,50,50,8500,8500,8500,0,0,0,0,0,0,0,0
45,989698550,2,4,69,59,44,50,50,50,8550,8550,8550,0,0,0,0,0,0,0,0
46,209518600,2,4,69,59,44,50,50,50,8600,8600,8600,0,0,0,0,0,0,0,0
46,452368650,2,4,69,59,44,50,50,50,8650,8650,8650,0,0,0,0,0,0,0,0
46,682798700,2,4,69,59,44,50,50,50,8700,8700,8700,0,0,0,0,0,0,0,0
46,90318750,2,4,69,59,44,50,50,50,8750,8750,8750,0,0,0,0,0,0,0,0
47,122328800,2,4,69,59,44,50,50,50,8800,8800,8800,0,0,0,0,0,0,0,0
47,389168850,2,4,69,59,44,50,50,50,8850,8850,8850,0,0,0,0,0,0,0,0
47,610918900,2,4,69,59,44,50,50,50,8900,8900,8900,0,0,0,0,0,0,0,0
47,851518950,2,4,69,59,44,50,50,50,8950,8950,8950,0,0,0,0,0,0,0,0
48,071459000,2,4,69,59,44,50,50,50,9000,9000,9000,0,0,0,0,0,0,0,0
48,290729050,2,4,69,59,44,50,50,50,9050,9050,9050,0,0,0,0,0,0,0,0
48,520139100,2,4,69,59,44,50,50,50,9100,9100,9100,0,0,0,0,0,0,0,0
48,756949150,2,4,69,59,44,50,50,50,9150,9150,9150,0,0,0,0,0,0,0,0
48,976739200,2,4,69,59,44,50,50,50,9200,9200,9200,0,0,0,0,0,0,0,0
49,196439250,2,4,69,59,44,50,50,50,9250,9250,9250,0,0,0,0,0,0,0,0
49,41679300,2,4,69,59,44,50,50,50,9300,9300,9300,0,0,0,0,0,0,0,0
49,652269350,2,4,69,59,44,50,50,50,9350,9350,9350,0,0,0,0,0,0,0,0
49,873589400,2,4,69,59,44,50,50,50,9400,9400,9400,0,0,0,0,0,0,0,0
50,095159450,2,4,69,59,44,50,50,50,9450,9450,9450,0,0,0,0,0,0,0,0
50,323759500,2,4,69,59,44,50,50,50,9500,9500,9500,0,0,0,0,0,0,0,0
50,562699550,2,4,69,59,44,50,50,50,9550,9550,9550,0,0,0,0,0,0,0,0
50,785589600,2,4,69,59,44,50,50,50,9600,9600,9600,0,0,0,0,0,0,0,0
51,01369650,2,4,69,59,44,50,50,50,9650,9650,9650,0,0,0,0,0,0,0,0
51,253989700,2,4,69,59,44,50,50,50,9700,9700,9700,0,0,0,0,0,0,0,0
51,499699750,2,4,69,59,44,50,50,50,9750,9750,9750,0,0,0,0,0,0,0,0
51,768949800,2,4,69,59,44,50,50,50,9800,9800,9800,0,0,0,0,0,0,0,0
52,013729850,2,4,69,59,44,50,50,50,9850,9850,9850,0,0,0,0,0,0,0,0
52,29819900,2,4,69,59,44,50,50,50,9900,9900,9900,0,0,0,0,0,0,0,0
52,572479950,2,4,69,59,44,50,50,50,9950,9950,9950,0,0,0,0,0,0,0,0
52,8178910000,2,4,69,59,44,50,50,50,10000,10000,10000,0,0,0,0,0,0,0,0
53,092810050,2,4,69,59,44,50,50,50,10050,10050,10050,0,0,0,0,0,0,0,0
53,3477910100,2,4,69,59,44,50,50,50,10100,10100,10100,0,0,0,0,0,0,0,0
53,5901510150,2,4,69,59,44,50,50,50,10150,10150,10150,0,0,0,0,0,0,0,0
53,8640710200,2,4,69,59,44,50,50,50,10200,10200,10200,0,0,0,0,0,0,0,0
54,1136210250,2,4,69,59,44,50,50,50,10250,10250,10250,0,0,0,0,0,0,0,0
54,3942810300,2,4,69,59,44,50,50,50,10300,10300,10300,0,0,0,0,0,0,0,0
54,6752310350,2,4,69,59,44,50,50,50,10350,10350,10350,0,0,0,0,0,0,0,0
54,9852410400,2,4,69,59,44,50,50,50,10400,10400,10400,0,0,0,0,0,0,0,0
55,2564810450,2,4,69,59,44,50,50,50,10450,10450,10450,0,0,0,0,0,0,0,0
55,4979610500,2,4,69,59,44,50,50,50,10500,10500,10500,0,0,0,0,0,0,0,0
55,7613210550,2,4,69,59,44,50,50,50,10550,10550,10550,0,0,0,0,0,0,0,0
55,9997810600,2,4,69,59,44,50,50,50,10600,10600,10600,0,0,0,0,0,0,0,0
56,2648510650,2,4,69,59,44,50,50,50,10650,10650,10650,0,0,0,0,0,0,0,0
56,5035510700,2,4,69,59,44,50,50,50,10700,10700,10700,0,0,0,0,0,0,0,0
56,77810750,2,4,69,59,44,50,50,50,10750,10750,10750,0,0,0,0,0,0,0,0
57,0182910800,2,4,69,59,44,50,50,50,10800,10800,10800,0,0,0,0,0,0,0,0
57,2827210850,2,4,69,59,44,50,50,50,10850,10850,10850,0,0,0,0,0,0,0,0
57,5620810900,2,4,69,59,44,50,50,50,10900,10900,10900,0,0,0,0,0,0,0,0
57,8059110950,2,4,69,59,44,50,50,50,10950,10950,10950,0,0,0,0,0,0,0,0
58,0670411000,2,4,69,59,44,50,50,50,11000,11000,11000,0,0,0,0,0,0,0,0
58,3067211050,2,4,69,59,44,50,50,50,11050,11050,11050,0,0,0,0,0,0,0,0
58,5694711100,2,4,69,59,44,50,50,50,11100,11100,11100,0,0,0,0,0,0,0,0
58,8185311150,2,4,69,59,44,50,50,50,11150,11150,11150,0,0,0,0,0,0,0,0
59,0816111200,2,4,69,59,44,50,50,50,11200,11200,11200,0,0,0,0,0,0,0,0
59,3220411250,2,4,69,59,44,50,50,50,11250,11250,11250,0,0,0,0,0,0,0,0
59,5868111300,2,4,69,59,44,50,50,50,11300,11300,11300,0,0,0,0,0,0,0,0
