SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
61.51334,13150,0,4,69,59,44,,,,0,0,0,0,0
61.73048,13200,0,4,69,59,44,,,,0,0,0,0,0
61.9447,13250,0,4,69,59,44,,,,0,0,0,0,0
62.15601,13300,0,4,69,59,44,,,,0,0,0,0,0
62.3728,13350,0,4,69,59,44,,,,0,0,0,0,0
62.61202,13400,0,4,69,59,44,,,,0,0,0,0,0
62.82645,13450,0,4,69,59,44,,,,0,0,0,0,0
63.04005,13500,0,4,69,59,44,,,,0,0,0,0,0
63.25183,13550,0,4,69,59,44,,,,0,0,0,0,0
63.46671,13600,0,4,69,59,44,,,,0,0,0,0,0
63.67955,13650,0,4,69,59,44,,,,0,0,0,0,0
63.91035,13700,0,4,69,59,44,,,,0,0,0,0,0
64.1237,13750,0,4,69,59,44,,,,0,0,0,0,0
64.33978,13800,0,4,69,59,44,,,,0,0,0,0,0
64.55761,13850,0,4,69,59,44,,,,0,0,0,0,0
64.78222,13900,0,4,69,59,44,,,,0,0,0,0,0
65.01779,13950,0,4,69,59,44,,,,0,0,0,0,0
65.23253,14000,0,4,69,59,44,,,,0,0,0,0,0
65.44745,14050,0,4,69,59,44,,,,0,0,0,0,0
65.66439,14100,0,4,69,59,44,,,,0,0,0,0,0
65.88656,14150,0,4,69,59,44,,,,0,0,0,0,0
66.12075,14200,0,4,69,59,44,,,,0,0,0,0,0
66.33646,14250,0,4,69,59,44,,,,0,0,0,0,0
66.55212,14300,0,4,69,59,44,,,,0,0,0,0,0
66.77316,14350,0,4,69,59,44,,,,0,0,0,0,0
67.00957,14400,0,4,69,59,44,,,,0,0,0,0,0
67.22421,14450,0,4,69,59,44,,,,0,0,0,0,0
67.43769,14500,0,4,69,59,44,,,,0,0,0,0,0
67.67634,14550,0,4,69,59,44,,,,0,0,0,0,0
67.92477,14600,0,4,69,59,44,,,,0,0,0,0,0
68.14869,14650,0,4,69,59,44,,,,0,0,0,0,0
68.37175,14700,0,4,69,59,44,,,,0,0,0,0,0
68.62092,14750,0,4,69,59,44,,,,0,0,0,0,0
68.84478,14800,0,4,69,59,44,,,,0,0,0,0,0
69.07708,14850,0,4,69,59,44,,,,0,0,0,0,0
69.32245,14900,0,4,69,59,44,,,,0,0,0,0,0
69.54771,14950,0,4,69,59,44,,,,0,0,0,0,0
69.77317,15000,0,4,69,59,44,,,,0,0,0,0,0
70.0218,15050,0,4,69,59,44,,,,0,0,0,0,0
70.24306,15100,0,4,69,59,44,,,,0,0,0,0,0
70.47307,15150,0,4,69,59,44,,,,0,0,0,0,0
70.72439,15200,0,4,69,59,44,,,,0,0,0,0,0
70.94944,15250,0,4,69,59,44,,,,0,0,0,0,0
71.17274,15300,0,4,69,59,44,,,,0,0,0,0,0
71.43165,15350,0,4,69,59,44,,,,0,0,0,0,0
71.6596,15400,0,4,69,59,44,,,,0,0,0,0,0
71.8834,15450,0,4,69,59,44,,,,0,0,0,0,0
72.13139,15500,0,4,69,59,44,,,,0,0,0,0,0
72.35461,15550,0,4,69,59,44,,,,0,0,0,0,0
72.57891,15600,0,4,69,59,44,,,,0,0,0,0,0
72.82703,15650,0,4,69,59,44,,,,0,0,0,0,0
73.05239,15700,0,4,69,59,44,,,,0,0,0,0,0
73.31197,15750,0,4,69,59,44,,,,0,0,0,0,0
73.54469,15800,0,4,69,59,44,,,,0,0,0,0,0
73.77315,15850,0,4,69,59,44,,,,0,0,0,0,0
74.02042,15900,0,4,69,59,44,,,,0,0,0,0,0
74.24043,15950,0,4,69,59,44,,,,0,0,0,0,0
74.46581,16000,0,4,69,59,44,,,,0,0,0,0,0
74.71794,16050,0,4,69,59,44,,,,0,0,0,0,0
74.93847,16100,0,4,69,59,44,,,,0,0,0,0,0
75.16074,16150,0,4,69,59,44,,,,0,0,0,0,0
75.38174,16200,0,4,69,59,44,,,,0,0,0,0,0
75.67551,16250,0,4,69,59,44,,,,0,0,0,0,0
75.95035,16300,0,4,69,59,44,,,,0,0,0,0,0
76.18481,16350,0,4,69,59,44,,,,0,0,0,0,0
76.4668,16400,0,4,69,59,44,,,,0,0,0,0,0
76.73696,16450,0,4,69,59,44,,,,0,0,0,0,0
76.98221,16500,0,4,69,59,44,,,,0,0,0,0,0
77.26694,16550,0,4,69,59,44,,,,0,0,0,0,0
77.52758,16600,0,4,69,59,44,,,,0,0,0,0,0
77.74976,16650,0,4,69,59,44,,,,0,0,0,0,0
77.97566,16700,0,4,69,59,44,,,,0,0,0,0,0
78.23249,16750,0,4,69,59,44,,,,0,0,0,0,0
